,prefill_time (ms),decode_time (s),request_e2e_time (s)
count,12576.0,12576.0,12576.0
mean,170.03007953555226,0.18649611423033793,0.3566521621918254
std,14.013243734854859,0.15443337662086717,0.15587539741484577
min,137.26043701171875,0.016852378845214844,0.1544640064239502
25%,158.5596799850464,0.05135631561279297,0.22145992517471313
50%,164.26706314086914,0.11993181705474854,0.29699230194091797
75%,181.2315583229065,0.30896610021591187,0.486017644405365
max,342.6187038421631,0.5371880531311035,0.7452962398529053
