,embedding_time,vector_search_time,load_docs_time,overall_time
count,1572.0,1572.0,1572.0,1572.0
mean,7.880098784987278,24.63480915117557,2.401270297073791,24.645090520257636
std,3.5799665066223127,0.7458561874650086,0.44689981668025214,0.7455244914383792
min,6.736521,20.509746316,1.889848,20.518802899
25%,7.256715,24.24195495225,2.09460325,24.25217329175
50%,7.467587,24.698706487,2.2315785000000004,24.708973292000003
75%,8.2740405,25.1011115375,2.6927855000000003,25.111455198999998
max,145.830928,26.04628293,6.684761,26.055998977
