,embedding_time,vector_search_time,load_docs_time,overall_time
count,99.0,99.0,99.0,99.0
mean,26.89248239393939,53.67460324076768,22.59469508080808,53.724090418242426
std,15.814014518659153,2.909522210627605,2.157283759105813,2.9131202715574163
min,13.758215,27.610152076,7.632658,27.631542949
25%,22.4620265,53.309555422,21.9740865,53.353236028
50%,24.501066,53.478592442,22.340502,53.522369098
75%,28.183683000000002,54.3571925425,22.8745415,54.400251280999996
max,177.048043,59.799288774,32.643268,59.853587126
