,embedding_time,vector_search_time,load_docs_time,overall_time
count,13.0,13.0,13.0,13.0
mean,168.32439215384616,306.20542981769233,167.98539407692306,306.541739603923
std,48.261156664922574,62.29226457488168,36.10958382579014,62.362372166692396
min,55.60544,99.603646448,50.030625,99.709282513
25%,156.500792,318.598561411,173.029168,318.978684656
50%,167.59534,322.602309934,175.596902,322.951289331
75%,177.359417,325.14036084,179.771608,325.484145091
max,281.031481,333.882247476,192.197868,334.338918987
