,embedding_time,vector_search_time,load_docs_time,overall_time
count,50.0,50.0,50.0,50.0
mean,49.572098340000004,89.56838783222,45.12884269999999,89.66308877325999
std,17.98774083094777,9.919619884147735,5.529345079483472,9.926338265225946
min,38.136009,22.522911223,7.247633,22.572411909
25%,43.50499925,88.88988504650001,45.29892325,88.981049011
50%,46.5512005,91.3285286335,45.899007,91.421848012
75%,49.50099525,92.24112684325,46.286384500000004,92.3337014315
max,169.485977,101.565282512,47.958419,101.659853875
