,embedding_time,vector_search_time,load_docs_time,overall_time
count,197.0,197.0,197.0,197.0
mean,16.399180065989846,33.334109324654825,11.711569984771574,33.36222007470558
std,24.582610015081464,4.220784213144437,0.851838690034132,4.21926532300736
min,9.946701,18.389424964,6.518592,18.405890257
25%,12.861036,30.260383825,11.196977,30.285939589
50%,13.911224,33.323985371,11.679381,33.348036822
75%,15.738692,34.525558333,12.105585,34.550297347
max,357.759106,55.842124257,16.289834,55.878857339
