,embedding_time,vector_search_time,load_docs_time,overall_time
count,786.0,786.0,786.0,786.0
mean,9.499781545801525,48.722305482430016,4.229850230279898,48.73603511420611
std,5.112696052705781,0.7701356279326417,0.5996442617711386,0.7700863834602725
min,7.487341,46.428657007,3.332301,46.442229928
25%,9.04334925,48.15132251625,4.049857,48.164400213250005
50%,9.32894,48.71693182600001,4.1920649999999995,48.7327644085
75%,9.56972725,49.311209946,4.317862,49.324317326
max,151.044608,51.42504872,8.284482,51.438094665
