,embedding_time,vector_search_time,load_docs_time,overall_time
count,393.0,393.0,393.0,393.0
mean,10.399798277353689,17.11937704853435,6.555175582697202,17.136332022394402
std,6.957197245690685,1.0518136977888892,0.6359840822467643,1.0507981684134873
min,8.320801,14.577763361,5.888249,14.59541181
25%,9.388688,16.330833578,6.227456,16.347274741
50%,9.803712,17.364715736,6.385514,17.379969233
75%,10.434784,17.895340521,6.805679,17.911564337
max,146.483749,22.041950942,12.339122,22.060247494
