,prefill_time (ms),decode_time (s),request_e2e_time (s)
count,12576.0,12576.0,12576.0
mean,567.1114757391636,4.085699514218111,4.653671646315329
std,188.87431070689627,3.4067666038609925,3.414210514626565
min,374.7878074645996,0.17589831352233887,0.5658166408538818
25%,397.60875701904297,1.1363861560821533,1.5887535214424133
50%,417.19698905944824,2.6524710655212402,3.108175277709961
75%,775.1201391220093,6.893911242485046,7.567675590515137
max,940.5295848846436,12.067139625549316,12.855017185211182
