,prefill_time (ms),decode_time (s),request_e2e_time (s)
count,12576.0,12576.0,12576.0
mean,543.3337287669267,3.850736669892725,4.394923753960594
std,180.46902430614242,3.2355327042685644,3.242675801114743
min,374.5598793029785,0.09480452537536621,0.4756662845611572
25%,379.8680305480957,1.0789384841918945,1.5330891609191895
50%,392.9976224899292,2.5129690170288086,2.9051090478897095
75%,739.3107414245605,6.476653099060059,7.190761864185333
max,841.2089347839355,11.991377592086792,12.75084137916565
