,prefill_time (ms),decode_time (s),request_e2e_time (s)
count,12576.0,12576.0,12576.0
mean,545.569139563552,3.8480459660784585,4.394452206638782
std,181.51089793087792,3.2274706898497945,3.2344535171352637
min,187.57152557373047,0.08132266998291016,0.5971715450286865
25%,379.67801094055176,1.0780502557754517,1.5456371903419495
50%,403.29134464263916,2.513256549835205,3.011534571647644
75%,738.9403581619263,6.473307728767395,7.1545610427856445
max,857.499361038208,12.064297676086426,12.79773473739624
