,prefill_time (ms),decode_time (s),request_e2e_time (s)
count,12576.0,12576.0,12576.0
mean,311.55457032924994,1.1053181890843782,1162.2025530499623
std,47.31359994580833,0.9216323563791647,658.7395259790292
min,222.6734161376953,0.07302641868591309,22.66967535018921
25%,325.18213987350464,0.3099675178527832,591.3880060315132
50%,333.2552909851074,0.7219523191452026,1162.2582046985626
75%,336.6210460662842,1.8621601462364197,1732.464911520481
max,1162.3866558074951,3.2959251403808594,2303.359936475754
