,prefill_time (ms),decode_time (s),request_e2e_time (s)
count,12576.0,12576.0,12576.0
mean,310.41300918613075,1.1270726921638763,1159.1853342218178
std,45.91979384393152,0.9320449604753787,657.0026122236351
min,221.35400772094727,0.07556009292602539,21.83868646621704
25%,325.0666856765747,0.31021374464035034,589.7748203873634
50%,332.46850967407227,0.7241566181182861,1159.0953242778778
75%,335.82377433776855,1.883254587650299,1728.072832763195
max,464.1280174255371,3.2936742305755615,2295.924211740494
