,prefill_time (ms),decode_time (s),request_e2e_time (s)
count,12576.0,12576.0,12576.0
mean,545.569139563552,3.8488830670752296,1037.6382285446573
std,181.51089793087812,3.227478644358505,574.4920962575671
min,187.57152557373047,0.08207917213439941,24.232131958007812
25%,379.67801094055176,1.0789873600006104,547.6291318535805
50%,403.29134464263916,2.51419997215271,1039.363165974617
75%,738.9403581619263,6.474663019180298,1533.5077647566795
max,857.499361038208,12.065106630325317,2025.2459921836853
