,prefill_time (ms),decode_time (s),request_e2e_time (s)
count,12576.0,12576.0,12576.0
mean,543.3337287669267,3.851590025193667,1024.9098826613629
std,180.4690243061426,3.2355373120241384,577.3431109185818
min,374.5598793029785,0.0952138900756836,25.000688791275024
25%,379.8680305480957,1.0797532200813293,521.7991077303886
50%,392.9976224899292,2.5139050483703613,1031.3043801784515
75%,739.3107414245605,6.477531015872955,1524.6000343561172
max,841.2089347839355,11.992034673690796,2017.2519886493683
