,prefill_time (ms),decode_time (s),request_e2e_time (s)
count,12576.0,12576.0,12576.0
mean,170.03007953555226,0.1866220826562731,0.3587953735512632
std,14.013243734854859,0.1544368471109488,0.15589617578551676
min,137.26043701171875,0.01698160171508789,0.15630054473876953
25%,158.5596799850464,0.0514797568321228,0.2235676646232605
50%,164.26706314086914,0.12005555629730225,0.29910731315612793
75%,181.2315583229065,0.30911004543304443,0.48826926946640015
max,342.6187038421631,0.5373194217681885,0.7475519180297852
