,prefill_time (ms),decode_time (s),request_e2e_time (s)
count,12576.0,12576.0,12576.0
mean,312.1446421317775,1.109704086893539,1165.7027197316402
std,48.487068443837785,0.928493075747836,659.2165110491197
min,222.65219688415527,0.0751798152923584,23.691153287887573
25%,325.6418704986572,0.3105369210243225,594.3039898276329
50%,333.68587493896484,0.7219879627227783,1166.4193733930588
75%,337.12470531463623,1.868155837059021,1735.994734466076
max,1454.4785022735596,3.8591842651367188,2306.559850215912
