,prefill_time (ms),decode_time (s),request_e2e_time (s)
count,12576.0,12576.0,12576.0
mean,567.1114757391636,4.086560170576166,1065.9168491707048
std,188.87431070689615,3.4067720662597964,601.8888913742738
min,374.7878074645996,0.1763615608215332,21.483617067337036
25%,397.60875701904297,1.1373000144958496,543.059473156929
50%,417.19698905944824,2.6532955169677734,1064.2571287155151
75%,775.1201391220093,6.89480996131897,1585.6422764062881
max,940.5295848846436,12.067845821380615,2104.733987092972
